City,Channel Name,Interest,Category,Channel ID,Deep Link
"San Antonio, TX","Birdwatching / San Antonio, TX",Birdwatching,Hobbies,04677daf-58f9-4c9f-9cd7-4bc70c0a71ff,https://places-links.vercel.app/chat/04677daf-58f9-4c9f-9cd7-4bc70c0a71ff/info
"San Antonio, TX","Astronomy / San Antonio, TX",Astronomy,Hobbies,cc907670-a32a-44aa-b985-8be14a30e6fb,https://places-links.vercel.app/chat/cc907670-a32a-44aa-b985-8be14a30e6fb/info
"Rishon Lezion, Israel","Free / Rishon Lezion, Israel",Free,Marketplace,8c9b133f-de17-42fd-bfd5-8ccc51cbefd5,https://places-links.vercel.app/chat/8c9b133f-de17-42fd-bfd5-8ccc51cbefd5/info
"Rishon Lezion, Israel","Freelance / Rishon Lezion, Israel",Freelance,Jobs,5daa7f19-bce7-4fee-84e5-8b7abef6df97,https://places-links.vercel.app/chat/5daa7f19-bce7-4fee-84e5-8b7abef6df97/info
"Rishon Lezion, Israel","Founders / Rishon Lezion, Israel",Founders,Jobs,1a594d65-76b7-45d7-a766-577713e16460,https://places-links.vercel.app/chat/1a594d65-76b7-45d7-a766-577713e16460/info
"Rishon Lezion, Israel","Research / Rishon Lezion, Israel",Research,Jobs,f89b84ad-9a18-41fb-8384-8a2d3901b420,https://places-links.vercel.app/chat/f89b84ad-9a18-41fb-8384-8a2d3901b420/info
"Rishon Lezion, Israel","Business / Rishon Lezion, Israel",Business,Jobs,854c3661-f542-4f99-87d0-bb9a8a99cbab,https://places-links.vercel.app/chat/854c3661-f542-4f99-87d0-bb9a8a99cbab/info
"Rishon Lezion, Israel","Calisthenics / Rishon Lezion, Israel",Calisthenics,Sports,796a8f84-b86b-4c5d-83cd-683b03fd01b3,https://places-links.vercel.app/chat/796a8f84-b86b-4c5d-83cd-683b03fd01b3/info
"Rishon Lezion, Israel","Running / Rishon Lezion, Israel",Running,Sports,bc0612c8-ccf6-48b4-beeb-a162f42b1eec,https://places-links.vercel.app/chat/bc0612c8-ccf6-48b4-beeb-a162f42b1eec/info
"Rishon Lezion, Israel","Parties / Rishon Lezion, Israel",Parties,Hobbies,9891ebec-ef24-4e60-8aaa-de33e2e4b821,https://places-links.vercel.app/chat/9891ebec-ef24-4e60-8aaa-de33e2e4b821/info
"Rishon Lezion, Israel","Ceramics / Rishon Lezion, Israel",Ceramics,Hobbies,061ba547-a30c-4e56-8bb8-0998ce3ce49f,https://places-links.vercel.app/chat/061ba547-a30c-4e56-8bb8-0998ce3ce49f/info
"Rishon Lezion, Israel","3D Printing / Rishon Lezion, Israel",3D Printing,Hobbies,c4281a89-a49d-43c8-8a02-99cfd77ed774,https://places-links.vercel.app/chat/c4281a89-a49d-43c8-8a02-99cfd77ed774/info
"Rishon Lezion, Israel","American Football / Rishon Lezion, Israel",American Football,Sports,c5134950-1fbc-4b52-adc1-321f219b07c6,https://places-links.vercel.app/chat/c5134950-1fbc-4b52-adc1-321f219b07c6/info
"Rishon Lezion, Israel","Archery / Rishon Lezion, Israel",Archery,Sports,4d640f3f-1481-490a-80dc-c3b2bed88a9d,https://places-links.vercel.app/chat/4d640f3f-1481-490a-80dc-c3b2bed88a9d/info
"Rishon Lezion, Israel","Arts and Crafts / Rishon Lezion, Israel",Arts and Crafts,Hobbies,5e5bda76-463e-450b-b69f-bd8b5a3f9f53,https://places-links.vercel.app/chat/5e5bda76-463e-450b-b69f-bd8b5a3f9f53/info
"Rishon Lezion, Israel","Astronomy / Rishon Lezion, Israel",Astronomy,Hobbies,9d3a1b87-6e8d-4154-830b-9c6412989d87,https://places-links.vercel.app/chat/9d3a1b87-6e8d-4154-830b-9c6412989d87/info
